Season,Rank,Club,Points
2012,20,Queens Park Rangers,25
2011,1,Manchester City,89
2011,2,Manchester United,89
2011,3,Arsenal,70
2011,4,Tottenham Hotspur,69
2011,5,Newcastle United,65
2011,6,Chelsea,64
2011,7,Everton,56
2011,8,Liverpool,52
2011,9,Fulham,52
2011,10,West Bromwich Albion,47
2011,11,Swansea City,47
2011,12,Norwich City,47
2011,13,Sunderland,45
2011,14,Stoke City,45
2011,15,Wigan Athletic,43
2011,16,Aston Villa,38
2011,17,Queens Park Rangers,37
2011,18,Bolton Wanderers,36
2011,19,Blackburn Rovers,31
2011,20,Wolverhampton Wanderers,25
2010,1,Manchester United,80
2010,2,Chelsea,71
2010,3,Manchester City,71
2010,4,Arsenal,68
2010,5,Tottenham Hotspur,62
2010,6,Liverpool,58
2010,7,Everton,54
2010,8,Fulham,9
2010,9,Aston Villa,48
2010,10,Sunderland,47
2010,11,West Bromwich Albion,47
2010,12,Newcastle United,46
2010,13,Stoke City,46
2010,14,Bolton Wanderers,46
2010,15,Blackburn Rovers,43
2010,16,Wigan Athletic,42
2010,17,Wolverhampton Wanderers,40
2010,18,Birmingham City,39
2010,19,Blackpool,39
2010,20,West Ham United,33
2009,1,Chelsea,86
2009,2,Manchester United,85
2009,3,Arsenal,75
2009,4,Tottenham Hotspur,70
2009,5,Manchester City,67
2009,6,Aston Villa,64
2009,7,Liverpool,63
2009,8,Everton,61
2009,9,Birmingham City,50
2009,10,Blackburn Rovers,50
2009,11,Stoke City,47
2009,12,Fulham,46
2009,13,Sunderland,44
2009,14,Bolton Wanderers,39
2009,15,Wolverhampton Wanderers,38
2009,16,Wigan Athletic,36
2009,17,West Ham United,35
2009,18,Burnley,30
2009,19,Hull City,30
2009,20,Portsmouth,19
2008,1,Manchester United,90
2008,2,Liverpool,86
2008,3,Chelsea,83
2008,4,Arsenal,72
2008,5,Everton,63
2008,6,Aston Villa,62
2008,7,Fulham,53
2008,8,Tottenham Hotspur,51
2008,9,West Ham United,51
2008,10,Manchester City,50
2008,11,Wigan Athletic,45
2008,12,Stoke City,45
2008,13,Bolton Wanderers,41
2008,14,Portsmouth,41
2008,15,Blackburn Rovers,41
2008,16,Sunderland,36
2008,17,Hull City,35
2008,18,Newcastle United,34
2008,19,Middlesbrough,32
2008,20,West Bromwich Albion,32
